Fecha,Hora,Frecuencia cardiaca
2025.04.26 20:16:00,20:16:00,88
2025.04.26 20:17:00,20:17:00,91
2025.04.26 20:18:00,20:18:00,106
2025.04.26 20:19:00,20:19:00,106
2025.04.26 20:20:00,20:20:00,106
2025.04.26 20:22:00,20:22:00,84
2025.04.26 20:29:00,20:29:00,86
2025.04.26 20:32:00,20:32:00,98
2025.04.26 20:33:00,20:33:00,96
2025.04.26 20:34:00,20:34:00,101
2025.04.26 20:36:00,20:36:00,94
2025.04.26 20:37:00,20:37:00,96
2025.04.26 20:39:00,20:39:00,100
2025.04.26 20:40:00,20:40:00,90
2025.04.26 20:42:00,20:42:00,96
2025.04.26 20:43:00,20:43:00,88
2025.04.26 20:44:00,20:44:00,104
2025.04.26 20:45:00,20:45:00,90
2025.04.26 20:47:00,20:47:00,100
2025.04.26 20:48:00,20:48:00,93
2025.04.26 20:49:00,20:49:00,94
2025.04.26 20:50:00,20:50:00,98
2025.04.26 20:51:00,20:51:00,88
2025.04.26 20:52:00,20:52:00,100
2025.04.26 20:53:00,20:53:00,95
2025.04.26 21:00:00,21:00:00,81
2025.04.26 21:01:00,21:01:00,99
2025.04.26 21:02:00,21:02:00,101
2025.04.26 21:03:00,21:03:00,87
2025.04.26 21:04:00,21:04:00,95
2025.04.26 21:05:00,21:05:00,76
2025.04.26 21:06:00,21:06:00,83
2025.04.26 21:07:00,21:07:00,91
2025.04.26 21:08:00,21:08:00,78
2025.04.26 21:09:00,21:09:00,85
2025.04.26 21:10:00,21:10:00,84
2025.04.26 21:11:00,21:11:00,95
2025.04.26 21:12:00,21:12:00,85
2025.04.26 21:18:00,21:18:00,87
2025.04.26 21:25:00,21:25:00,94
2025.04.26 21:36:00,21:36:00,87
2025.04.26 21:37:00,21:37:00,81
2025.04.26 21:38:00,21:38:00,86
2025.04.26 21:39:00,21:39:00,101
2025.04.26 21:41:00,21:41:00,88
2025.04.26 21:43:00,21:43:00,79
2025.04.26 21:44:00,21:44:00,91
2025.04.26 21:45:00,21:45:00,88
2025.04.26 21:49:00,21:49:00,80
2025.04.26 21:50:00,21:50:00,88
2025.04.26 21:51:00,21:51:00,91
2025.04.26 21:54:00,21:54:00,95
2025.04.26 21:55:00,21:55:00,84
2025.04.26 21:56:00,21:56:00,91
2025.04.26 21:57:00,21:57:00,91
2025.04.26 21:58:00,21:58:00,94
2025.04.26 22:00:00,22:00:00,73
2025.04.26 22:03:00,22:03:00,85
2025.04.26 22:04:00,22:04:00,96
2025.04.26 22:05:00,22:05:00,95
2025.04.26 22:06:00,22:06:00,89
2025.04.26 22:07:00,22:07:00,82
2025.04.26 22:13:00,22:13:00,93
2025.04.26 22:14:00,22:14:00,96
2025.04.26 22:17:00,22:17:00,91
2025.04.26 22:18:00,22:18:00,77
2025.04.26 22:19:00,22:19:00,83
2025.04.26 22:20:00,22:20:00,96
2025.04.26 22:21:00,22:21:00,66
2025.04.26 22:22:00,22:22:00,91
2025.04.26 22:23:00,22:23:00,94
2025.04.26 22:24:00,22:24:00,95
2025.04.26 22:25:00,22:25:00,89
2025.04.26 22:26:00,22:26:00,91
2025.04.26 22:37:00,22:37:00,72
2025.04.26 22:39:00,22:39:00,76
2025.04.26 22:40:00,22:40:00,77
2025.04.26 22:43:00,22:43:00,104
2025.04.26 22:47:00,22:47:00,96
2025.04.26 22:48:00,22:48:00,98
2025.04.26 22:49:00,22:49:00,86
2025.04.26 22:58:00,22:58:00,85
2025.04.26 22:59:00,22:59:00,88
2025.04.26 23:00:00,23:00:00,82
2025.04.26 23:01:00,23:01:00,72
2025.04.26 23:02:00,23:02:00,89
2025.04.26 23:03:00,23:03:00,83
2025.04.26 23:04:00,23:04:00,86
2025.04.26 23:05:00,23:05:00,77
2025.04.26 23:06:00,23:06:00,59
2025.04.26 23:07:00,23:07:00,56
2025.04.26 23:15:00,23:15:00,78
2025.04.26 23:18:00,23:18:00,79
2025.04.26 23:19:00,23:19:00,71
2025.04.26 23:24:00,23:24:00,85
2025.04.26 23:30:00,23:30:00,87
2025.04.26 23:32:00,23:32:00,84
2025.04.26 23:34:00,23:34:00,95
2025.04.26 23:37:00,23:37:00,86
2025.04.26 23:40:00,23:40:00,86
2025.04.26 23:41:00,23:41:00,89
2025.04.26 23:43:00,23:43:00,75
2025.04.26 23:48:00,23:48:00,67
2025.04.26 23:59:00,23:59:00,63
