Fecha,Hora,Pasos
2025.04.16 13:40:00,13:40:00,15
2025.04.16 13:41:00,13:41:00,15
2025.04.16 13:42:00,13:42:00,15
2025.04.16 13:43:00,13:43:00,15
2025.04.16 14:06:00,14:06:00,19
2025.04.16 14:10:00,14:10:00,7
2025.04.16 14:11:00,14:11:00,12
2025.04.16 14:12:00,14:12:00,18
2025.04.16 14:14:00,14:14:00,56
2025.04.16 14:15:00,14:15:00,11
2025.04.16 14:16:00,14:16:00,36
2025.04.16 14:17:00,14:17:00,37
2025.04.16 14:18:00,14:18:00,22
2025.04.16 14:19:00,14:19:00,55
2025.04.16 14:20:00,14:20:00,56
2025.04.16 14:21:00,14:21:00,72
2025.04.16 14:22:00,14:22:00,76
2025.04.16 14:23:00,14:23:00,103
2025.04.16 14:24:00,14:24:00,100
2025.04.16 14:25:00,14:25:00,29
2025.04.16 14:47:00,14:47:00,81
2025.04.16 14:48:00,14:48:00,44
2025.04.16 14:49:00,14:49:00,100
2025.04.16 14:50:00,14:50:00,98
2025.04.16 14:51:00,14:51:00,79
2025.04.16 14:52:00,14:52:00,74
2025.04.16 14:53:00,14:53:00,44
2025.04.16 14:54:00,14:54:00,43
2025.04.16 15:18:00,15:18:00,46
2025.04.16 15:19:00,15:19:00,43
2025.04.16 15:27:00,15:27:00,12
2025.04.16 15:28:00,15:28:00,2
2025.04.16 15:58:00,15:58:00,15
2025.04.16 15:59:00,15:59:00,47
2025.04.16 16:56:00,16:56:00,14
2025.04.16 16:57:00,16:57:00,34
2025.04.16 16:58:00,16:58:00,17
2025.04.16 16:59:00,16:59:00,14
2025.04.16 17:00:00,17:00:00,14
2025.04.16 17:01:00,17:01:00,13
2025.04.16 17:02:00,17:02:00,32
2025.04.16 17:03:00,17:03:00,55
2025.04.16 17:05:00,17:05:00,41
2025.04.16 17:06:00,17:06:00,20
2025.04.16 17:08:00,17:08:00,21
2025.04.16 17:09:00,17:09:00,18
2025.04.16 17:10:00,17:10:00,15
2025.04.16 17:11:00,17:11:00,16
2025.04.16 17:13:00,17:13:00,20
2025.04.16 17:21:00,17:21:00,2
2025.04.16 17:23:00,17:23:00,13
2025.04.16 17:24:00,17:24:00,13
2025.04.16 17:25:00,17:25:00,66
2025.04.16 17:26:00,17:26:00,73
2025.04.16 17:27:00,17:27:00,63
2025.04.16 17:28:00,17:28:00,28
2025.04.16 17:29:00,17:29:00,57
2025.04.16 17:30:00,17:30:00,19
2025.04.16 17:31:00,17:31:00,1
2025.04.16 17:32:00,17:32:00,28
2025.04.16 17:36:00,17:36:00,33
2025.04.16 17:37:00,17:37:00,7
2025.04.16 18:09:00,18:09:00,16
2025.04.16 18:22:00,18:22:00,3
2025.04.16 18:28:00,18:28:00,9
2025.04.16 18:29:00,18:29:00,25
2025.04.16 18:30:00,18:30:00,31
2025.04.16 18:31:00,18:31:00,8
2025.04.16 18:32:00,18:32:00,8
2025.04.16 18:33:00,18:33:00,8
2025.04.16 18:34:00,18:34:00,8
2025.04.16 18:35:00,18:35:00,8
2025.04.16 18:38:00,18:38:00,6
2025.04.16 19:55:00,19:55:00,8
2025.04.16 19:56:00,19:56:00,11
2025.04.16 19:57:00,19:57:00,16
2025.04.16 20:09:00,20:09:00,14
2025.04.16 20:46:00,20:46:00,11
2025.04.16 20:47:00,20:47:00,40
2025.04.16 20:48:00,20:48:00,88
2025.04.16 20:49:00,20:49:00,102
2025.04.16 20:50:00,20:50:00,19
2025.04.16 20:51:00,20:51:00,49
2025.04.16 23:07:00,23:07:00,31
2025.04.16 23:08:00,23:08:00,24
2025.04.17 02:09:00,02:09:00,8
2025.04.17 02:10:00,02:10:00,9
2025.04.17 13:15:00,13:15:00,26
2025.04.17 13:16:00,13:16:00,21
2025.04.17 13:17:00,13:17:00,79
2025.04.17 13:18:00,13:18:00,40
2025.04.17 13:19:00,13:19:00,12
2025.04.17 13:20:00,13:20:00,12
2025.04.17 13:21:00,13:21:00,8
2025.04.17 13:22:00,13:22:00,29
2025.04.17 13:23:00,13:23:00,22
2025.04.17 13:24:00,13:24:00,11
2025.04.17 13:26:00,13:26:00,27
2025.04.17 13:30:00,13:30:00,33
2025.04.17 14:18:00,14:18:00,12
2025.04.17 14:32:00,14:32:00,26
2025.04.17 14:33:00,14:33:00,1
2025.04.17 14:34:00,14:34:00,22
